state,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years,pctpop_work
Illinois,6.6,6.6,13.9,12.9,12.8,6.7,6.4,65.9
Iowa,7,7,12.5,12.2,11.7,6.8,6.5,63.7
Missouri,6.4,6.6,13.4,12.1,12.3,6.8,6.7,64.3
Nevada,6,5.9,14.6,13.4,13.1,6.3,6.1,65.4
Pennsylvania,6.4,6.3,13.2,11.7,13,7.2,7,64.8
Utah,7.9,8.2,14.7,13.9,10.1,4.8,4.7,64.3
West Virginia,6.2,6.3,11.6,12.1,12.9,7.1,7.3,63.5
Colorado,6.5,6.6,15.6,13.7,12.5,6.4,6.1,67.4
Georgia,7.2,6.8,13.7,13.3,13.3,6.3,5.8,66.4
Idaho,7.2,6.6,13,12.5,11.5,6.4,5.9,63.1
Maryland,6.3,6.4,13.7,12.8,13.6,6.9,6.5,66.2
New Jersey,6.2,6.2,12.9,12.9,13.8,7.1,6.6,65.7
New Mexico,6.8,6.6,13.3,12.2,11.5,6.5,6.5,63.4
Ohio,6.6,6.4,13.1,11.9,12.7,7,6.8,64.5
Alaska,6.6,6.7,16,13.2,12.1,6.4,6.2,67.2
Florida,5.8,5.9,13,12.1,12.9,6.8,6.6,63.1
Hawaii,5.5,6.4,14.2,12.8,12.1,6.1,6.6,63.7
Massachusetts,6.6,7.1,14.3,12.2,13.4,7.1,6.5,67.2
South Carolina,6.7,6.5,12.9,12.3,12.5,6.9,6.5,64.3
District of Columbia,5.3,7.5,23.3,15,10.8,5.2,4.7,71.8
Maine,5.8,5.5,12,11.5,13.5,7.9,8.1,64.3
North Carolina,6.8,6.6,13.3,12.6,13.3,6.5,6.4,65.5
South Dakota,6.8,6.7,13.2,11.9,11,6.7,6.7,63
Alabama,6.8,6.5,13,12.1,12.8,6.8,6.5,64.5
Indiana,6.9,7,13.1,12.4,12.6,6.7,6.4,65.1
Kentucky,6.5,6.7,13,12.4,12.9,6.8,6.6,64.9
Louisiana,6.6,6.6,13.8,12.7,12.2,6.5,6.4,64.8
Tennessee,6.5,6.5,13.5,12.5,13.1,6.6,6.6,65.3
Vermont,6.7,6.9,12,11.2,12.9,7.5,7.8,65
Washington,6,6.3,15.3,13.4,12.4,6.5,6.3,66.2
Michigan,6.6,6.9,12.9,11.7,12.9,7,7,65
Nebraska,6.9,6.9,13.3,12.7,11.3,6.4,6.2,63.7
New Hampshire,6.8,6.3,12.4,11.4,14,8.2,7.5,66.6
Oklahoma,6.9,6.8,13.8,12.5,11.6,6.5,6,64.1
Oregon,6,6.3,14.1,13.3,12.4,6.4,6.6,65.1
Rhode Island,7.1,7.1,13.8,11.6,13.2,6.9,7.1,66.8
Wisconsin,6.5,6.8,12.7,12.2,12.7,7.2,7,65.1
Wyoming,7.1,5.7,13.4,12.5,11.7,6.6,7.2,64.2
Puerto Rico,6.6,7,11.9,12.4,13.2,6.7,6.6,64.4
Arkansas,6.9,6.6,13,12.2,12.3,6.5,6.2,63.7
California,6.5,6.9,15.3,13.3,12.8,6.3,5.8,66.9
Delaware,6.1,6.2,13.2,11.6,12.7,7.1,7,63.9
Kansas,7,7.2,12.9,12.3,11.7,6.5,6.3,63.9
Minnesota,6.4,6.4,13.5,12.7,12.3,7.1,6.3,64.7
Mississippi,7.3,6.9,12.7,12.7,12,6.4,6.5,64.5
Montana,6.3,6.4,12.6,12.1,11.4,6.8,7.5,63.1
Virginia,6.6,6.8,13.7,13.1,13.1,6.7,6.2,66.2
Arizona,6.7,6.8,13.7,12.3,11.9,6,6.1,63.5
Connecticut,6.8,6.7,12.5,11.9,13.8,7.3,7.1,66.1
New York,6.2,6.6,14.7,12.5,13.1,6.8,6.5,66.4
North Dakota,6.1,8.2,15.4,12,10.7,6.5,6,64.9
Texas,7.2,6.9,14.6,13.6,12.4,5.9,5.4,66