state,totpop_2018,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,totpop_work,pctpop_work
Illinois,12741080,835845,839026,1765517,1644390,1636054,855616,814251,8390699,65.9
Iowa,3156145,220659,220135,394507,383617,369396,213657,205797,2007768,63.7
Missouri,6126452,391923,406398,819132,742343,753354,419591,413293,3946034,64.3
Nevada,3034392,182398,180376,442713,405128,396167,191059,186387,1984228,65.4
Pennsylvania,12807060,815621,812406,1695073,1496113,1659541,916749,894782,8290285,64.8
Utah,3161105,250173,260774,463344,437953,319031,152425,147852,2031552,64.3
West Virginia,1805832,112776,113760,209002,218803,233109,127449,131202,1146101,63.5
Colorado,5695564,368833,374122,889656,781388,710218,362167,349003,3835387,67.4
Georgia,10519475,754377,719378,1442243,1401044,1396330,667863,614264,6995499,66.4
Idaho,1754208,127012,115850,228080,219713,201135,111993,103385,1107168,63.1
Maryland,6042718,379728,384168,826526,775079,822740,418074,393879,4000194,66.2
New Jersey,8908520,556312,554274,1151093,1147591,1233599,634688,583983,5861540,65.7
New Mexico,2095428,142717,138863,279153,256261,239928,136486,136173,1329581,63.4
Ohio,11689442,773272,752641,1533104,1396763,1488201,816288,796516,7556785,64.5
Alaska,737438,48514,49107,117688,97020,89333,47300,46012,494974,67.2
Florida,21299325,1234024,1255590,2758515,2586704,2741968,1449290,1406864,13432955,63.1
Hawaii,1420491,77860,90595,201025,181541,171390,86295,93871,902577,63.7
Massachusetts,6902149,457341,492981,990332,842140,921551,490589,450575,4645509,67.2
South Carolina,5084127,340480,332798,654355,623363,637009,349353,328521,3265879,64.3
District of Columbia,702455,37568,52978,163467,105535,75526,36869,33153,505096,71.8
Maine,1338404,77325,73878,159944,153436,180466,105214,108253,858516,64.3
North Carolina,10383620,701383,682328,1382310,1310404,1378087,677844,664925,6797281,65.5
South Dakota,882235,59836,58791,116300,105167,97263,58813,58949,555119,63
Alabama,4887871,332209,317810,635976,593480,626173,332700,319472,3157820,64.5
Indiana,6691878,459222,465439,874246,826473,841750,447600,426678,4341408,65.1
Kentucky,4468402,288944,300744,579520,553107,575373,304711,295311,2897710,64.9
Louisiana,4659978,308126,308893,645255,589714,567313,303589,299252,3022142,64.8
Tennessee,6770010,439465,437346,914783,846438,883961,445131,445713,4412837,65.3
Vermont,626299,42229,43479,75058,70113,80695,47049,49034,407657,65
Washington,7535591,452515,475177,1153369,1006328,930921,488025,472433,4978768,66.2
Michigan,9995915,660528,690292,1291353,1165562,1290759,700756,700963,6500213,65
Nebraska,1929268,132609,132433,256755,244896,218816,122864,119111,1227484,63.7
New Hampshire,1356458,91832,85214,167822,154965,189718,111581,101506,902638,66.6
Oklahoma,3943079,270953,266367,542736,492077,459013,256188,237998,2525332,64.1
Oregon,4190713,252056,264987,592655,556833,519480,267232,276569,2729812,65.1
Rhode Island,1057315,74635,75521,146349,123137,140006,73211,75347,708206,66.8
Wisconsin,5813568,378566,394807,735765,706676,738357,419486,405255,3778912,65.1
Wyoming,577737,40744,32880,77254,72405,67487,38002,41431,370203,64.2
Puerto Rico,3195153,210051,222760,381445,396979,422128,214899,211363,2059625,64.4
Arkansas,3013825,208021,199748,392937,367053,370343,196034,187896,1922032,63.7
California,39557045,2557470,2710448,6034398,5264457,5068026,2485050,2296376,26416225,66.9
Delaware,967171,59345,59553,127399,112393,122887,68726,67539,617842,63.9
Kansas,2911510,204915,209009,376422,359447,339683,189925,183758,1863159,63.9
Minnesota,5611179,356388,359550,759541,714967,689680,401080,355327,3636533,64.7
Mississippi,2986530,219044,204679,379027,380696,359664,190823,192650,1926583,64.5
Montana,1062305,67386,67822,133976,128663,121090,72061,79732,670730,63.1
Virginia,8517685,564667,579716,1170188,1114566,1115695,574308,529025,5648165,66.2
Arizona,7171646,477306,489653,979328,882618,852462,430467,436326,4548160,63.5
Connecticut,3572665,242294,239846,447891,424573,494642,260520,252623,2362389,66.1
New York,19542209,1202251,1294057,2872898,2433825,2557338,1327824,1268393,12956586,66.4
North Dakota,760077,46455,62590,116734,90872,81517,49436,45787,493391,64.9
Texas,28701845,2069341,1988685,4181960,3910623,3550999,1694490,1539426,18935524,66